Year/Week,Year,Week,Mt. Baw Baw Visits,Mt. Baw Baw Maximum temperature (Degree C),Mt. Baw Baw Minimum temperature (Degree C),Mt. Baw Baw Rainfall amount (millimetres),Mt. Stirling Visits,Mt. Stirling Maximum temperature (Degree C),Mt. Stirling Minimum temperature (Degree C),Mt. Stirling Rainfall amount (millimetres),Mt. Hotham Visits,Mt. Hotham Maximum temperature (Degree C),Mt. Hotham Minimum temperature (Degree C),Mt. Hotham Rainfall amount (millimetres),Falls Creek Visits,Falls Creek Maximum temperature (Degree C),Falls Creek Minimum temperature (Degree C),Falls Creek Rainfall amount (millimetres),Mt. Buller Visits,Mt. Buller Maximum temperature (Degree C),Mt. Buller Minimum temperature (Degree C),Mt. Buller Rainfall amount (millimetres),Selwyn Visits,Selwyn Maximum temperature (Degree C),Selwyn Minimum temperature (Degree C),Selwyn Rainfall amount (millimetres),Thredbo Visits,Thredbo Maximum temperature (Degree C),Thredbo Minimum temperature (Degree C),Thredbo Rainfall amount (millimetres),Perisher Visits,Perisher Maximum temperature (Degree C),Perisher Minimum temperature (Degree C),Perisher Rainfall amount (millimetres),Charlotte Pass Visits,Charlotte Maximum temperature (Degree C),Charlotte Minimum temperature (Degree C),Charlotte Rainfall amount (millimetres),Average Pass Visits,Average Maximum temperature (Degree C),Average Minimum temperature (Degree C),Average Rainfall amount (millimetres)
2014/1,2014,1,555,4.957142857,1.1,3.485714286,60,4.271428571,-0.014285714,2.028571429,3483,3.457142857,-1.142857143,6,2790,4.6,-0.3,3.4,8296,4.271428571,-0.014285714,2.028571429,1041,6.828571429,1.571428571,4.171428571,5535,4.714285714,-2,5.8,7370,6.328571429,-1.585714286,8.857142857,408,5.521428571,-1.792857143,7.328571429,3282,4.994444444,-0.464285714,4.788888889
2014/2,2014,2,804,5.485714286,0.814285714,3,42,5.257142857,-0.342857143,6.8,1253,3,-1.257142857,1.857142857,1425,4.414285714,-0.285714286,1.085714286,1987,5.257142857,-0.342857143,6.8,383,6.714285714,1.528571429,2.057142857,2090,2.657142857,-1.685714286,1.142857143,2751,5.257142857,-1.857142857,1.971428571,151,3.957142857,-1.771428571,1.557142857,1209.555556,4.666666667,-0.577777778,2.919047619
2014/3,2014,3,993,1.042857143,-1.814285714,10.91428571,30,0.385714286,-2.514285714,19.08571429,2992,-0.9,-3.285714286,2.971428571,2101,0.1,-2.828571429,9.942857143,2413,0.385714286,-2.514285714,19.08571429,597,1.671428571,-0.857142857,15.57142857,3216,-1.028571429,-4.114285714,0.6,4255,0.885714286,-2.457142857,31.51428571,230,-0.071428571,-3.285714286,16.05714286,1869.666667,0.274603175,-2.63015873,13.97142857
2014/4,2014,4,2976,2.528571429,-0.957142857,11.71428571,165,0.957142857,-1.857142857,11.42857143,9680,-0.985714286,-3.471428571,0.085714286,9544,1.385714286,-2.685714286,3.457142857,18831,0.957142857,-1.857142857,11.42857143,2877,3.142857143,-0.757142857,8.6,15497,-1.314285714,-4.357142857,0.057142857,20265,2.942857143,-2.457142857,7.685714286,1134,0.814285714,-3.407142857,3.871428571,8996.555556,1.158730159,-2.423015873,6.480952381
2014/5,2014,5,11112,0.685714286,-2.257142857,11.8,645,-0.285714286,-3.4,10.2,29628,-1.842857143,-4,0.457142857,26211,-0.728571429,-3.757142857,1.942857143,49217,-0.285714286,-3.4,10.2,8588,1.271428571,-2.257142857,6.314285714,46546,-1.685714286,-5.185714286,0.428571429,61339,1.185714286,-3.757142857,5.571428571,3403,-0.25,-4.471428571,3,26298.77778,-0.215079365,-3.60952381,5.546031746
2014/6,2014,6,13381,1.014285714,-2.428571429,8.228571429,1316,-1,-3.585714286,5.314285714,36665,-1.957142857,-4.442857143,0.085714286,33392,0.285714286,-3.957142857,8.971428571,59693,-1,-3.585714286,5.314285714,10682,2.785714286,-1.614285714,4.4,58668,-1.871428571,-5.414285714,0.514285714,76855,1.785714286,-4.357142857,7.342857143,4305,-0.042857143,-4.885714286,3.928571429,32773,-1.12256E-15,-3.807936508,4.9
2014/7,2014,7,8832,3.785714286,0.014285714,1.2,684,2.371428571,-1.514285714,3.771428571,26465,0.128571429,-3.242857143,6.771428571,28149,3.1,-0.885714286,1.228571429,45788,2.371428571,-1.514285714,3.771428571,8180,5.528571429,0.885714286,0.714285714,44109,1.257142857,-4.5,0.485714286,57593,5.085714286,-4.357142857,0.714285714,3236,3.171428571,-4.428571429,0.6,24781.77778,2.977777778,-2.171428571,2.13968254
2014/8,2014,8,9347,1.7,-2.171428571,8,1250,0.442857143,-2.985714286,14.42857143,21679,-0.942857143,-3.957142857,12.45714286,24565,0.185714286,-3.328571429,4.828571429,41720,0.442857143,-2.985714286,14.42857143,7267,3.371428571,-1.028571429,2.114285714,39654,-0.828571429,-4.371428571,4,52426,1.771428571,-3.657142857,8.314285714,2901,0.471428571,-4.014285714,6.157142857,22312.11111,0.734920635,-3.166666667,8.303174603
2014/9,2014,9,10071,2.114285714,-2.014285714,1.657142857,1280,1.157142857,-3.514285714,0.942857143,31019,0.7,-3.757142857,0.428571429,28981,2.371428571,-2.571428571,0.285714286,48984,1.157142857,-3.514285714,0.942857143,8708,4.714285714,-0.842857143,0,46875,2.2,-4.628571429,0,62654,5.2,-5.542857143,0.371428571,3391,3.7,-5.085714286,0.185714286,26884.77778,2.59047619,-3.496825397,0.534920635
2014/10,2014,10,11071,3.542857143,-2.114285714,3.314285714,1653,3.714285714,-3.871428571,0.714285714,30360,1.657142857,-5.485714286,0.685714286,33125,3.4,-4.542857143,0,47315,3.714285714,-3.871428571,0.714285714,9133,5.842857143,-2.285714286,0.285714286,48777,1.514285714,-7.042857143,0.085714286,64928,4.042857143,-7.957142857,1.542857143,3549,2.778571429,-7.5,0.814285714,27767.88889,3.356349206,-4.963492063,0.906349206
2014/11,2014,11,10079,5.285714286,-0.057142857,3.142857143,902,4.314285714,-0.328571429,0.057142857,35923,2.7,-1.271428571,3.142857143,36486,4.428571429,-0.485714286,3.485714286,43314,4.314285714,-0.328571429,0.057142857,8968,8.614285714,1.1,0.857142857,49003,2.371428571,-4.257142857,2.771428571,64834,5.628571429,-3.257142857,9.771428571,3608,4,-3.757142857,6.271428571,28124.11111,4.628571429,-1.404761905,3.284126984
2014/12,2014,12,7635,8.257142857,1.828571429,0.971428571,847,7.085714286,1.171428571,0.085714286,32657,5.485714286,-0.457142857,1.342857143,34468,7.028571429,0.071428571,1.285714286,41063,7.085714286,1.171428571,0.085714286,8404,9.057142857,0.957142857,0.171428571,44164,3.957142857,-2.957142857,2.142857143,59121,6.528571429,-3.685714286,4.628571429,3258,5.242857143,-3.321428571,3.385714286,25735.22222,6.636507937,-0.58015873,1.566666667
2014/13,2014,13,4681,5.814285714,-0.314285714,5.8,522,4.414285714,-1.7,4.257142857,28855,1.457142857,-3.471428571,0.885714286,30104,3.528571429,-2.1,3.628571429,41063,4.414285714,-1.7,4.257142857,6975,8.4,-0.314285714,0.914285714,38470,0.814285714,-5.457142857,1.342857143,50737,4.7,-4.3,5.028571429,2837,2.757142857,-4.878571429,3.185714286,22693.77778,4.033333333,-2.692857143,3.255555556
2014/14,2014,14,1904,5.671428571,1.014285714,4.914285714,267,5.271428571,0.271428571,4.8,18708,4.185714286,-0.957142857,12.91428571,23864,5.7,-0.2,6.4,26222,5.271428571,0.271428571,4.8,4628,8.885714286,2.271428571,3.6,25734,3.957142857,-1.4,6.971428571,33833,6.885714286,-0.642857143,7,1898,5.421428571,-1.021428571,6.985714286,15228.66667,5.694444444,-0.043650794,6.487301587
2014/15,2014,15,0,4.728571429,-0.642857143,7.4,66,4.842857143,-1.514285714,2.971428571,11117,3.542857143,-2.742857143,1.857142857,15869,5.771428571,-1.871428571,0.428571429,11881,4.842857143,-1.514285714,2.971428571,2566,8.442857143,1.114285714,1.371428571,13890,2.628571429,-2.8,1.114285714,18381,6.057142857,-2.214285714,2.742857143,995,4.342857143,-2.507142857,1.928571429,8307.222222,5.022222222,-1.632539683,2.531746032
2015/1,2015,1,3185,6.271428571,-3.17207E-17,2.914285714,39,6.5,0.185714286,2.542857143,4997,7.228571429,0.271428571,2.857142857,4799,7.228571429,0.157142857,0.028571429,15612,6.5,0.185714286,2.542857143,2238,9.028571429,2.171428571,0.257142857,12039,7.528571429,-2.128571429,0.857142857,15906,9.885714286,-3.571428571,0.228571429,892,8.707142857,-2.85,0.542857143,6634.111111,7.653174603,-0.61984127,1.419047619
2015/2,2015,2,2058,2.885714286,-0.957142857,3.628571429,63,2.8,-1.928571429,1.142857143,1797,8.9,3,2.057142857,3293,2.157142857,-2.028571429,4.028571429,6592,2.8,-1.928571429,1.142857143,1001,5.5,0.7,3.542857143,5540,2.157142857,-2.971428571,7.571428571,7363,3.814285714,-2.271428571,12.45714286,405,2.985714286,-2.621428571,10.01428571,3123.555556,3.777777778,-1.223015873,5.065079365
2015/3,2015,3,1745,6.242857143,-0.071428571,0.114285714,51,6.414285714,-0.557142857,0.085714286,3605,8.9,3,2.314285714,5965,7,-0.442857143,1.028571429,6648,6.414285714,-0.557142857,0.085714286,1331,8.257142857,2.228571429,0.485714286,7069,6.7,-0.957142857,0.2,9360,9.014285714,-3.285714286,0,501,7.857142857,-2.121428571,0.1,4030.555556,7.422222222,-0.307142857,0.49047619
2015/4,2015,4,2751,1.028571429,-2.014285714,3.028571429,27,-0.085714286,-3.885714286,1.685714286,13197,8.9,3,0.771428571,11758,1.371428571,-3.914285714,0.457142857,18766,-0.085714286,-3.885714286,1.685714286,3211,2.785714286,-3.357142857,1.028571429,17634,2.242857143,-5,0,23296,4.642857143,-6.728571429,0.971428571,1303,3.442857143,-5.864285714,0.485714286,10215.88889,2.693650794,-3.516666667,1.123809524
2015/5,2015,5,6748,1.585714286,-1.514285714,14.02857143,69,0.628571429,-3.014285714,6.542857143,22318,0.757142857,-1.1,0,20779,0.542857143,-2.971428571,9.457142857,38879,0.628571429,-3.014285714,6.542857143,6658,3.528571429,-1.528571429,6.628571429,35918,0.271428571,-5.042857143,0.228571429,47607,2.642857143,-4.5,7.914285714,2645,1.457142857,-4.771428571,4.071428571,20180.11111,1.338095238,-3.050793651,6.157142857
2015/6,2015,6,8269,0.285714286,-3.671428571,12,240,-1.142857143,-5.2,3.685714286,27894,-2.728571429,-5.871428571,0,24064,-1.271428571,-5.5,0.828571429,45629,-1.142857143,-5.2,3.685714286,8112,1.857142857,-2.357142857,3.8,43234,-1.871428571,-7.671428571,1.228571429,57282,0.771428571,-6.2,4.8,3211,-0.55,-6.935714286,3.014285714,24215,-0.643650794,-5.400793651,3.671428571
2015/7,2015,7,8219,0.971428571,-1.714285714,3.428571429,714,0.228571429,-2.471428571,8.114285714,22620,-0.728571429,-3.257142857,6.571428571,27566,0.2,-2.342857143,5.485714286,38873,0.228571429,-2.471428571,8.114285714,7373,2.357142857,-0.071428571,8.4,40967,-0.8,-3.928571429,0.514285714,54202,1.257142857,-2.728571429,14.65714286,2996,0.228571429,-3.328571429,7.585714286,22614.44444,0.438095238,-2.479365079,6.985714286
2015/8,2015,8,8600,-0.028571429,-3.442857143,7.714285714,558,-0.014285714,-4.328571429,9.714285714,17562,-1.3,-4.157142857,0,25955,-0.4,-3.614285714,2.857142857,36714,-0.014285714,-4.328571429,9.714285714,6601,3.2,-1,10,36200,-0.414285714,-4.371428571,3.142857143,48170,1.814285714,-3.3,12.94285714,2661,0.7,-3.835714286,8.042857143,20335.66667,0.393650794,-3.597619048,7.125396825
2015/9,2015,9,8932,0.871428571,-3.185714286,11.57142857,1218,-0.628571429,-4.628571429,3.657142857,27850,-2.1,-5.742857143,0.114285714,31872,-0.285714286,-5.114285714,0.4,38171,-0.628571429,-4.628571429,3.657142857,7983,1.471428571,-3.071428571,0.428571429,43268,-2.014285714,-6.842857143,0.4,57548,1.028571429,-7.028571429,2.971428571,3148,-0.492857143,-6.935714286,1.685714286,24443.33333,-0.308730159,-5.242063492,2.765079365
2015/10,2015,10,10429,1.314285714,-1.871428571,2.857142857,1371,0.257142857,-2.228571429,4.085714286,31159,-1.085714286,-2.985714286,3.514285714,35417,0.942857143,-2.9,0.914285714,41782,0.257142857,-2.228571429,4.085714286,9023,2.857142857,-0.885714286,1.371428571,48525,0.285714286,-4.742857143,0.228571429,64346,3.271428571,-3.085714286,1.542857143,3473,1.778571429,-3.914285714,0.885714286,27280.55556,1.097619048,-2.76031746,2.165079365
2015/11,2015,11,10927,4.157142857,-0.642857143,3.8,1146,3.142857143,-1.857142857,0.4,35122,1.385714286,-3.857142857,3.2,37063,3.357142857,-2.1,0.314285714,44060,3.142857143,-1.857142857,0.4,9492,7.057142857,0.642857143,3.942857143,51900,2.142857143,-3.228571429,2.685714286,68527,5.585714286,-2.914285714,3.314285714,3719,3.864285714,-3.071428571,3,29106.22222,3.75952381,-2.098412698,2.33968254
